Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Polygon Coordinates
LOY,AD,AD Building,Administration Building,"7141, Sherbrooke West",45.457984,-73.639834,"[[-73.63982640602099, 45.457798967810064], [-73.63980930693852, 45.45782083900776], [-73.6397965664457, 45.45782342592305], [-73.63977577932583, 45.45784953024349], [-73.6397791320871, 45.457861524116396], [-73.63976739742266, 45.45787539937795], [-73.6398090390331, 45.45790134433533], [-73.63980434516732, 45.45790604781092], [-73.63982882032458, 45.45792415618814], [-73.63975364056668, 45.45802285781523], [-73.63974291173062, 45.458022387468645], [-73.63968256202779, 45.45800051634914], [-73.63967987981877, 45.45800310325619], [-73.63962355342946, 45.45798287834333], [-73.63958072648335, 45.45804016157582], [-73.63963403538752, 45.45806273819933], [-73.63968929552539, 45.45809390818967], [-73.63968963080151, 45.458106607529366], [-73.6396151166356, 45.458202321048105], [-73.63958125374678, 45.45819032724769], [-73.63957387767199, 45.45820043966783], [-73.63952593318585, 45.458183507242374], [-73.63950682244662, 45.45820890587862], [-73.63949374667767, 45.45821078725862], [-73.63947396538619, 45.4582373617445], [-73.63947657124241, 45.458247920754154], [-73.63946785406311, 45.45825826833626], [-73.63946852461537, 45.45827096763896], [-73.63976605715463, 45.458382504321506], [-73.6398156780214, 45.45831853756086], [-73.63982204826782, 45.458309365850276], [-73.63982338937232, 45.45829807758903], [-73.63977276267717, 45.458278793470846], [-73.6398606050224, 45.458165675522814], [-73.63986898692558, 45.45816732173157], [-73.63988407435129, 45.45815062446898], [-73.63991357865045, 45.45811111543349], [-73.63992028417299, 45.458102884380956], [-73.63991994889686, 45.458089714694374], [-73.64000712068984, 45.45797471497923], [-73.64006814094493, 45.45799705645555], [-73.64011474432657, 45.45793732238327], [-73.6401164207072, 45.45793426512592], [-73.64012346150587, 45.457923447136956], [-73.64012413205812, 45.45791121810349]]"
SGW,B,B Building,B Annex,2160 Bishop Street,45.497856,-73.579588,"[[-73.5793896, 45.497887], [-73.5794406, 45.4979102], [-73.5794655, 45.4979241], [-73.5796322, 45.4977507], [-73.5795607, 45.4977144], [-73.5793896, 45.497887]]"
LOY,BB,BB Building,BB-BH Annex,3502 Bermore Avenue,45.459793,-73.639174,"[[-73.63923764922974, 45.459847629799036], [-73.63931878605244, 45.45975826677363], [-73.63945624926446, 45.45981611759046], [-73.63937578299401, 45.45990030688451]]"
LOY,BH,BH Building,BB-BH Annex,3500 Bermore Avenue,45.459819,-73.639152,"[[-73.63916645247663, 45.45982068669079], [-73.6390162122033, 45.459758628539575], [-73.63909064350347, 45.459664091711765], [-73.63924419996957, 45.45972382395475]]"
LOY,CC,CC Building,Central Building,7141 Sherbrooke West,45.458204,-73.6403,"[[-73.6407936233295, 45.45837846246661], [-73.64079261750112, 45.45838881002474], [-73.64068398803602, 45.45852647207955], [-73.64045097848826, 45.45843781441095], [-73.64044494351798, 45.458444164042426], [-73.64014136652698, 45.458330268684186], [-73.6401417018031, 45.45832086180347], [-73.63990600268592, 45.45822843911688], [-73.63990432630528, 45.458220443253914], [-73.63994087140311, 45.458172604740845], [-73.64001327295621, 45.45807972415427], [-73.64025567759593, 45.45817209318592], [-73.64026104201396, 45.45816621386914], [-73.64056245525201, 45.45828027250493], [-73.64056346108039, 45.458290384908956]]"
SGW,CI,CI Building,CI Annex,2149 Mackay Street,45.497467,-73.579925,"[[-73.5800149, 45.4974061], [-73.5799938, 45.4973958], [-73.5799742, 45.4973868], [-73.5799734, 45.497373], [-73.5799483, 45.4973615], [-73.5799218, 45.4973632], [-73.5798023, 45.4974912], [-73.5797543, 45.4975407], [-73.5798422, 45.4975819], [-73.5800149, 45.4974061]]"
LOY,CJA,CJ Building - wing A,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354,"[[-73.64039358679253, 45.45717459096273], [-73.6402075067537, 45.4574064756653], [-73.64007607851197, 45.45735944047541], [-73.64005193863083, 45.457310523836306], [-73.64007607851197, 45.457305820311056], [-73.64001438770462, 45.45720986831077], [-73.63998622450997, 45.45720986831077], [-73.63991246376206, 45.45722209749637], [-73.6398788088492, 45.45722776405839], [-73.63982504197308, 45.457259142029194], [-73.63980158559434, 45.457278722377346], [-73.63977006963842, 45.45732928527728], [-73.63976202780387, 45.45738971207491], [-73.6397710802593, 45.45742954201785], [-73.63982036584994, 45.457480339958074], [-73.63995414102456, 45.4574631721408], [-73.63994645137119, 45.45744647466967], [-73.64002758819389, 45.457435891762884], [-73.64014947789609, 45.45748461055312], [-73.64004506080833, 45.45762207844032], [-73.6403142875382, 45.45772555532435], [-73.64029148876158, 45.457754481782935], [-73.6404852780335, 45.457830619270254], [-73.64063207330305, 45.457649993955485], [-73.64050232144196, 45.45759613889239], [-73.64071711930137, 45.457333342167544], [-73.64064000579219, 45.45730300443521], [-73.64065825111975, 45.457278844731654]]"
LOY,CJN,CJ Building - wing N,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354,"[[-73.64039358679253, 45.45717459096273], [-73.6402075067537, 45.4574064756653], [-73.64007607851197, 45.45735944047541], [-73.64005193863083, 45.457310523836306], [-73.64007607851197, 45.457305820311056], [-73.64001438770462, 45.45720986831077], [-73.63998622450997, 45.45720986831077], [-73.63991246376206, 45.45722209749637], [-73.6398788088492, 45.45722776405839], [-73.63982504197308, 45.457259142029194], [-73.63980158559434, 45.457278722377346], [-73.63977006963842, 45.45732928527728], [-73.63976202780387, 45.45738971207491], [-73.6397710802593, 45.45742954201785], [-73.63982036584994, 45.457480339958074], [-73.63995414102456, 45.4574631721408], [-73.63994645137119, 45.45744647466967], [-73.64002758819389, 45.457435891762884], [-73.64014947789609, 45.45748461055312], [-73.64004506080833, 45.45762207844032], [-73.6403142875382, 45.45772555532435], [-73.64029148876158, 45.457754481782935], [-73.6404852780335, 45.457830619270254], [-73.64063207330305, 45.457649993955485], [-73.64050232144196, 45.45759613889239], [-73.64071711930137, 45.457333342167544], [-73.64064000579219, 45.45730300443521], [-73.64065825111975, 45.457278844731654]]"
LOY,CJS,CJ Building - wing S,Communication Studies and Journalism Building,"7141, Sherbrooke Wes",45.457478,-73.640354,"[[-73.64039358679253, 45.45717459096273], [-73.6402075067537, 45.4574064756653], [-73.64007607851197, 45.45735944047541], [-73.64005193863083, 45.457310523836306], [-73.64007607851197, 45.457305820311056], [-73.64001438770462, 45.45720986831077], [-73.63998622450997, 45.45720986831077], [-73.63991246376206, 45.45722209749637], [-73.6398788088492, 45.45722776405839], [-73.63982504197308, 45.457259142029194], [-73.63980158559434, 45.457278722377346], [-73.63977006963842, 45.45732928527728], [-73.63976202780387, 45.45738971207491], [-73.6397710802593, 45.45742954201785], [-73.63982036584994, 45.457480339958074], [-73.63995414102456, 45.4574631721408], [-73.63994645137119, 45.45744647466967], [-73.64002758819389, 45.457435891762884], [-73.64014947789609, 45.45748461055312], [-73.64004506080833, 45.45762207844032], [-73.6403142875382, 45.45772555532435], [-73.64029148876158, 45.457754481782935], [-73.6404852780335, 45.457830619270254], [-73.64063207330305, 45.457649993955485], [-73.64050232144196, 45.45759613889239], [-73.64071711930137, 45.457333342167544], [-73.64064000579219, 45.45730300443521], [-73.64065825111975, 45.457278844731654]]"
SGW,CL,CL Building,CL Annex,1665 Ste-Catherine W,45.494259,-73.579007,"[[-73.5796402, 45.4941615], [-73.5793327, 45.4939635], [-73.5792952, 45.4939729], [-73.5792697, 45.4939832], [-73.5792348, 45.494002], [-73.5792201, 45.4940152], [-73.5789277, 45.4942577], [-73.5792777, 45.4944711], [-73.5796402, 45.4941615]]"
