Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_0173,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,301,Traduction littéraire du français à l'anglais,Travaux Pratiques ,Games/Role-playing,Course-integrated,
FAS_0174,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,304,Traduction littéraire de l'anglais au français,Travaux Pratiques ,Games/Role-playing,Course-integrated,
FAS_0175,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,401,Traduction littéraire avancée : du français à l'anglais,Travaux Pratiques ,Games/Role-playing,Course-integrated,
FAS_0176,FAS,Études françaises,Traduction,Undergraduate,Bachelor,FTRA,402,Traduction littéraire avancée : de l'anglais au français,Travaux Pratiques ,Games/Role-playing,Course-integrated,
FAS_0396,FAS,Sociology and Anthropology,Anthropology and Sociology ,Undergraduate,Bachelor,ANTH,450,Social Economy & Sustainable Futures,Community Service Learning & Group Project,Real-world project/assignment,Course-integrated;Community-based,
FAS_0838,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,333,Introduction to Quantum Theory,"He Course Introduces Students To The Concept Of Quantum Mechanics And The Electronic Structure Of Atoms And Molecules. Topics Include The Origins And Postulates Of Quantum Theory, The Schrödinger Equation And Applications To Simple Systems Such As The Harmonic Oscillator, Rigid Rotor And The Hydrogen Atom. The Course Looks At The Quantum Mechanical Treatment Of The Chemical Bond And Provides An Introduction To Spectroscopy.",Laboratory/Clinics,Course-integrated,
FAS_1,FAS,Applied Human Sciences,Any program,Undergraduate,Bachelor / Certificate,AHSC,225,Self-Managed Learning,"Enables Students To Create Clear Personal Visions, Set Relevant Learning Goals, Create, Organize Related Activities, & Assess Their Progress",Laboratory/Clinics;Case studies,Course-integrated,
FAS_10,FAS,Applied Human Sciences,Human Relations / Family Life Education,Undergraduate,Bachelor / Certificate,AHSC,435,Fieldwork Practice,"Fieldwork, Lead One Small Task Or Learning Group In A Community, An Organizational Or An Institutional Setting",Practica,Course-integrated;Work-integrated;Community-based,
FAS_100,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,477,Communication Media: Sound III,Practicum Course,Practica,Course-integrated,
FAS_1000,FAS,History,History,Undergraduate,Bachelor,HIST,368,African Popular Culture,This Course Explores The Varied Terrain Of African Popular Culture In The 19Th And 20Th Centuries. ,Laboratory/Clinics;Case studies,Course-integrated,
FAS_1001,FAS,History,History,Undergraduate,Bachelor,HIST,379,History Through Visual Media and Material Culture,"This Course Explores The Relationship Between The Public And The Past By Examining Issues In The Production, Distribution, And Reception Of History Via These New And Changing Technologies.",Laboratory/Clinics,Course-integrated,
FAS_1002,FAS,History,History,Undergraduate,Bachelor,HIST,381,The Politics of the Past,"This Course Examines The Uses Of History And The Role Of The Historian In The Political Arena, Focusing On Cases In Which The Past Has Underwritten Social Movements Or Mediated Public Controversies.",,Course-integrated,
